trial_id,task,stimulus,correct_response
left_right-01,left_right,right,right
left_right-02,left_right,left,left
left_right-03,left_right,right,right
left_right-04,left_right,left,left
left_right-05,left_right,left,left
left_right-06,left_right,left,left
left_right-07,left_right,right,right
left_right-08,left_right,left,left
left_right-09,left_right,left,left
left_right-10,left_right,left,left
left_right-11,left_right,left,left
left_right-12,left_right,right,right
left_right-13,left_right,right,right
left_right-14,left_right,left,left
left_right-15,left_right,left,left
left_right-16,left_right,left,left
left_right-17,left_right,right,right
left_right-18,left_right,left,left
left_right-19,left_right,left,left
left_right-20,left_right,left,left
sign-01,sign,positive,positive
sign-02,sign,negative,negative
sign-03,sign,positive,positive
sign-04,sign,positive,positive
sign-05,sign,positive,positive
sign-06,sign,positive,positive
sign-07,sign,negative,negative
sign-08,sign,negative,negative
sign-09,sign,positive,positive
sign-10,sign,positive,positive
sign-11,sign,negative,negative
sign-12,sign,positive,positive
sign-13,sign,positive,positive
sign-14,sign,positive,positive
sign-15,sign,negative,negative
sign-16,sign,positive,positive
sign-17,sign,positive,positive
sign-18,sign,positive,positive
sign-19,sign,positive,positive
sign-20,sign,negative,negative
