trial_id,task,headphones,hrtf,volume_db,response,response_time_s,notes
left_right-01,left_right,,,,,,
left_right-02,left_right,,,,,,
left_right-03,left_right,,,,,,
left_right-04,left_right,,,,,,
left_right-05,left_right,,,,,,
left_right-06,left_right,,,,,,
left_right-07,left_right,,,,,,
left_right-08,left_right,,,,,,
left_right-09,left_right,,,,,,
left_right-10,left_right,,,,,,
left_right-11,left_right,,,,,,
left_right-12,left_right,,,,,,
left_right-13,left_right,,,,,,
left_right-14,left_right,,,,,,
left_right-15,left_right,,,,,,
left_right-16,left_right,,,,,,
left_right-17,left_right,,,,,,
left_right-18,left_right,,,,,,
left_right-19,left_right,,,,,,
left_right-20,left_right,,,,,,
sign-01,sign,,,,,,
sign-02,sign,,,,,,
sign-03,sign,,,,,,
sign-04,sign,,,,,,
sign-05,sign,,,,,,
sign-06,sign,,,,,,
sign-07,sign,,,,,,
sign-08,sign,,,,,,
sign-09,sign,,,,,,
sign-10,sign,,,,,,
sign-11,sign,,,,,,
sign-12,sign,,,,,,
sign-13,sign,,,,,,
sign-14,sign,,,,,,
sign-15,sign,,,,,,
sign-16,sign,,,,,,
sign-17,sign,,,,,,
sign-18,sign,,,,,,
sign-19,sign,,,,,,
sign-20,sign,,,,,,
